1,"Arsenal","Mikel Arteta","London, England","Emirates Stadium",0
2,"Aston Villa","Unai Emery","Birmingham, England","Villa Park",1
3,"Atlético de Madrid","Diego Simeone","Madrid, Spain","Metropolitano",0
4,"Borussia Dortmund","Edin Terzic","Dortmund, Germany","Signal Iduna Park",1
5,"Barcelona","Hansi Flick","Barcelona, Spain","Camp Nou",5
6,"Bayern Muenchen","Vincent Company","Muenchen, Germany","Allianz Arena",6
7,"Benfica","Bruno Lage","Lisbon, Portugal","Estadio da Luz",2
8,"Club Brugge","Nicky Hayen","Bruges, Belgium","Jan Breydel Stadium",0
9,"Feyenoord","Robin van Persie","Rotterdam, Netherlands","De Kuip",1
10,"Inter Milan","Simone Inzaghi","Milan, Italy","San Siro",3
11,"Bayer Leverkusen","Xabi Alonso","Leverkusen, Germany","BayArena",0
12,"Lille","Bruno Genesio","Lille, France","Stade Pierre-Mauroy",0
13,"Liverpool","Arne Slot","Liverpool, England","Anfield",6
14,"PSG","Luis Enrique","Paris, France","Parc des Princes",0
15,"PSV Eindhoven","Peter Bosz","Eindhoven, Netherlands","Philips Stadion",1
16,"Real Madrid","Carlo Ancelotti","Madrid, Spain","Santiago Bernabéu",15
17,"Atalanta","Gian Piero Gasperini","Bergamo, Italy","Gewiss Stadium",0
18,"Brest","Eric Roy","Brest, France","Stade Francis-Le Ble",0
19,"Celtic","Brendan Rodgers","Glasgow, Scotland","Celtic Park",1
20,"Juventus","Thiago Motta","Turin, Italy","Allianz Stadium",2
21,"Manchester City","Pep Guardiola","Manchester, England","Etihad Stadium",1
22,"Milan","Sergio Conceicao","Milan, Italy","San Siro",7
23,"Monaco","Adi Hutter","Monaco, Monaco","Stade Louis II",0
24,"Sporting CP","Rui Borges","Lisbon, Portugal","Estadio Jose Alvalade",0
